rec_id, culture, sex, date_of_birth, given_name, surname, blocking_number
rec-2837-org,   afr, m, 19150724, hashiki, siatontola, 8
rec-814-org,   afr, m, 19521211, kabaila, wolde, 0
rec-3923-org,   afr, m, 19741005, adelkria, row, 4
rec-1423-org,   afr, f, 19831212, bendera, syajeya, 7
rec-1878-org,   afr, f, 19180610, mhonum, kibor, 0
rec-253-org,   afr, f, 19590309, dzigbode, lauf, 2
rec-1056-org,   afr, f, 19291002, badda, lester, 3
rec-2569-org,   afr, f, 19090510, chenzira, richmond, 8
rec-1235-org,   afr, f, 19740927, fatsani, chikalanga, 0
rec-2238-dup-0, afr, f, 19331225, isioma, meny , 4
rec-3852-dup-0, afr, f, , kanika, clarke, 3
rec-138-org,   afr, f, 19580217, mapenzi, mootseng, 1
rec-2626-org,   afr, f, 19821010, againi, whittaker, 6
rec-16-org,   afr, f, 19670429, abdi, dippenaar, 3
rec-1694-org,   afr, f, 19100921, laweye, akahan, 9
rec-396-dup-0, afr, , 19171921, itang, muter, 4
rec-1947-org,   afr, f, 19870403, makame, komon, 8
rec-1492-org,   afr, f, 19730704, salme, kenya, 6
rec-13-org,   afr, f, 19541226, chukwuemeka, milne, 2
rec-1207-org,   afr, , 19120417, afaghis, robertson, 6
rec-1764-org,   afr, f, 19680610, ossy, salgado, 2
rec-2291-org,   afr, f, 19980719, jugurtha, luvutsi, 6
rec-365-org,   afr, f, 19001025, jendayi, azira, 2
rec-1815-dup-0, afr, , 19520522, olunfunke, sandersmon, 1
rec-2813-org,   afr, m, 19690626, abibu, haile, 6
rec-1325-org,   afr, f, 19880916, anulka, krause, 9
rec-1819-org,   afr, f, 19900228, ayodele, ogunro, 3
rec-168-org,   afr, f, 19570808, lewa, raats, 9
rec-156-dup-0, afr, m, 19090309, akukalia, kiae, 1
rec-3715-dup-0, afr, f, , waledta, lamb, 3
rec-1834-dup-0, afr, m, 19020826, hakizimana, ikenn e, 8
rec-3179-org,   afr, m, 19090317, modeira, bannerman, 4
rec-252-org,   afr, m, 19210129, qalhata, butime, 3
rec-3650-org,   afr, f, 19940413, shamba, kasongo, 9
rec-973-dup-0, afr, f, 19021008, uahtilan, hlatshwayo, 6
rec-3069-org,   afr, f, 19300116, yeshi, adegoke, 3
rec-3310-dup-0, afr, f, 19520625, erya, chibile, 3
rec-3223-org,   afr, f, 19380815, zakiya, siabasiye, 8
rec-635-org,   afr, , 19051224, amennay, mukisa, 6
rec-939-dup-0, afr, f, 19121107, akpena, chickosola, 1
rec-1162-org,   afr, f, 19981130, alimayu, rees, 4
rec-514-dup-0, afr, f, 19481225, menelik, krusd, 6
rec-2553-dup-0, afr, f, 19330215, rakibum, mosx, 0
rec-332-dup-0, afr, f, , uwatiegwu, nkonjera, 0
rec-178-org,   afr, f, 19011017, chijioke, chasi, 9
rec-2379-org,   afr, f, 19730526, xavion, tshipampa, 3
rec-3829-org,   afr, f, 19830712, mwata, coryndon, 2
rec-2781-org,   afr, f, 19940311, kirabo, muriithi, 3
rec-932-org,   afr, f, 19250324, chiedozie, kgosiemang, 7
rec-3649-dup-0, afr, f, , onuchukwu, chiban ga, 6
rec-2163-org,   afr, , , dessalegne, odiah, 8
rec-1382-org,   afr, f, , firyali, kalemazikusoka, 0
rec-1539-org,   afr, f, 19920718, asura, munge, 1
rec-3558-org,   afr, , 19100429, nozipho, anyanwu, 1
rec-3577-org,   afr, , 19610921, gaika, darnell, 8
rec-2925-org,   afr, f, 19770201, sibusiso, hassan, 7
rec-3062-org,   afr, f, 19490825, kijakazi, lynar, 8
rec-1043-org,   afr, f, 19581201, kariamu, long, 5
rec-2422-dup-0, afr, , 19750302, kudzai, bukemya, 2
rec-3555-org,   afr, f, 19470505, ikenna, karugaba, 2
rec-1037-dup-0, afr, f, , amakhi, muthoni, 8
rec-3787-org,   afr, f, 19370225, luzuko, laidler, 5
rec-424-dup-0, afr, , 19560814, aleju, kihoro, 9
rec-204-dup-0, afr, f, 19070715, nubia, manjimel, 6
rec-2343-org,   afr, , 19711014, chidiebere, cotran, 4
rec-1549-org,   afr, , 19010401, mas, liwonde, 3
rec-2069-org,   afr, , 19550419, adhane, teklehaimanot, 1
rec-1038-dup-0, afr, f, , omai, bilal, 2
rec-803-org,   afr, f, , yidir, shongwe, 8
rec-1028-org,   afr, f, 19721003, nwabudike, kasonka, 6
rec-3676-org,   afr, f, , , shaw, 2
rec-515-org,   afr, f, 19740618, oluchi, nyasa, 1
rec-2032-org,   afr, m, 19070116, nodathembu, siliya, 9
rec-3208-org,   afr, , 19820510, donu, isegawa, 0
rec-1458-org,   afr, f, 19080314, russom, kagwanja, 7
rec-2809-dup-0, afr, , 19691114, coffie, wellbel ved, 6
rec-660-org,   afr, m, 19160102, mutara, , 0
rec-700-dup-0, afr, f, 19571124, fakkhi, kasobe, 4
rec-3201-org,   afr, f, 19380619, sitembile, ronne, 9
rec-1415-org,   afr, f, 19290519, wagaye, onwuzuruike, 4
rec-1360-org,   afr, f, 19910605, angolwisye, kantu, 3
rec-2241-org,   afr, m, 19501006, okoye, winnicott, 2
rec-3852-org,   afr, f, , kanika, ofoedu, 3
rec-291-org,   afr, f, 19820820, sobhuza, okoro, 8
rec-1272-org,   afr, f, 19800422, sigqibo, kalengo, 3
rec-979-org,   afr, f, 19780406, nwugo, saga, 6
rec-2472-org,   afr, , 19491001, mutejima, chitembeya, 9
rec-3588-org,   afr, m, 19351230, ogbegun, munge, 4
rec-455-org,   afr, f, , amma, , 5
rec-3089-org,   afr, f, , pemba, chikatula, 6
rec-2524-org,   afr, m, 19340210, wesesa, mukonka, 0
rec-3083-org,   afr, f, 19171229, furaha, akatsa, 7
rec-516-org,   afr, f, , gemeda, nkonjera, 0
rec-2771-org,   afr, f, 19120109, mundanugu, hoogendoorn, 2
rec-2008-dup-0, afr, m, 19370929, latawnn, shona, 7
rec-3361-org,   afr, , 19090103, animashaun, munakupya, 2
rec-3818-org,   afr, f, 19430429, thokozani, katuntu, 2
rec-9-org,   afr, f, 19630416, nadif, jepchumba, 5
rec-3390-org,   afr, f, 19211209, diata, , 8
rec-2651-org,   afr, m, , wingu, ikgopoleng, 8
rec-111-dup-0, afr, f, 19260601, huso, onua hu, 9
rec-3090-org,   afr, f, 19991101, abana, weber, 3
rec-1914-dup-0, afr, , 19371031, mwanakwel, olureme ekun, 6
rec-3565-org,   afr, , 19431107, nyaguthii, beauttah, 8
rec-1089-org,   afr, , 19400205, fulass, kabira, 2
rec-755-org,   afr, f, 19750427, ilori, werikhe, 7
rec-3079-dup-0, afr, m, 19251105, diteboho, tim , 9
rec-2474-org,   afr, f, 19480502, kudyauku, gigi, 8
rec-2554-org,   afr, , , akuwa, mushega, 7
rec-3053-org,   afr, f, 19370504, tariku, uche, 9
rec-1015-org,   afr, f, 19830805, olisaemeka, toolz, 9
rec-1142-org,   afr, f, 19660119, rhaxma, sabu, 7
rec-943-org,   afr, f, 19580201, rafiki, rieck, 5
rec-249-org,   afr, f, 19060701, dumeto, niedermeyer, 8
rec-724-org,   afr, f, 19830905, alike, ghonda, 3
rec-2169-dup-0, afr, f, , ntombentl, jifa , 5
rec-673-org,   afr, , , takadiyi, nyasulu, 8
rec-2330-org,   afr, f, 19881227, majo, sinkolongo, 2
rec-933-org,   afr, f, 19410911, ssanyu, malone, 3
rec-1547-dup-0, afr, , 19600728, nku, thiam, 4
rec-2794-org,   afr, f, , amdegh, gabolwelwe, 3
rec-257-org,   afr, f, 19060830, deelon, azuonye, 4
rec-381-org,   afr, , 19091021, masnsen, kleinschott, 7
rec-2252-org,   afr, f, 19021016, tafui, mbishei, 6
rec-3873-dup-0, afr, , 19730129, yahcay, twigg, 5
rec-211-org,   afr, m, 19260202, tariku, styles, 9
rec-1210-org,   afr, , 19620726, malebogo, , 6
rec-3184-org,   afr, f, 19370727, venuste, katumwa, 5
rec-3591-org,   afr, f, 19060915, tapy, dyegh, 6
rec-1589-org,   afr, , 19320619, chibale, locke, 7
rec-31-org,   afr, f, 19341023, rukiya, saltmarsh, 0
rec-884-org,   afr, , 19451119, iyapo, temmers, 9
rec-2038-dup-0, afr, f, 19241104, omondo, feldtman, 5
rec-1608-org,   afr, m, 19540503, ruza, hamusankwa, 6
rec-416-org,   afr, f, 19090225, sanga, ubah, 3
rec-3129-org,   afr, , 19891118, thandi, diehl, 1
rec-1108-org,   afr, m, 19880209, dawit, thurston, 0
rec-3807-org,   afr, f, 19620313, chimaijem, muchole, 7
rec-2822-org,   afr, f, 19830424, roshumba, kabuu, 9
rec-455-dup-0, afr, f, , am ma, , 5
rec-3020-org,   afr, f, 19731210, mbiyu, jegede, 7
rec-962-dup-0, afr, f, 19211108, jugu rtha, odogwu, 1
rec-504-dup-0, afr, m, , afolabi, reichret, 5
rec-1542-org,   afr, f, 19130715, amaka, osano, 4
rec-2230-org,   afr, , 19131216, rolihlahla, simpson, 7
rec-2665-dup-0, afr, f, 19230219, nabelun, govender, 2
rec-1030-org,   afr, f, 19160802, magriet, hamooba, 8
rec-1084-org,   afr, f, 19850409, idowu, donkor, 1
