rec_id, culture, sex, date_of_birth, given_name, surname, blocking_number
rec-646-org,   afr, m, 19800816, ubani, manel, 9
rec-2523-dup-0, afr, f, 19450303, ayobunmi, isaac s, 3
rec-1981-org,   afr, f, , mwai, nalule, 8
rec-1369-org,   afr, , , kaisha, nawale, 5
rec-307-org,   afr, , 19831026, somoe, kajara, 1
rec-1056-org,   afr, m, 19230929, fila, ige, 3
rec-1410-dup-0, afr, f, 19100 09, zinachukw, morgenrood, 5
rec-2730-org,   afr, , 19060905, osayiniwese, chesang, 2
rec-30-org,   afr, m, 19760919, ndweleifwa, aileru, 5
rec-653-dup-0, afr, f, 19481128, aldjiya, snyman, 9
rec-1718-dup-0, afr, f, 19040416, miada, jeilan, 1
rec-2201-org,   afr, f, 19551008, rashon, howroyd, 5
rec-2114-org,   afr, f, 19580404, , regassa, 9
rec-1606-org,   afr, m, 19030802, abu, paterson, 9
rec-1394-dup-0, afr, f, 19000101, jalanui, umanankwe, 5
rec-2972-dup-0, afr, , , andile, lwandamna, 0
rec-2710-org,   afr, f, 19220310, abiona, henshaw, 5
rec-2975-org,   afr, m, 19240301, potrafanton, schonn, 1
rec-2176-org,   afr, f, 19700525, adeola, nyariki, 3
rec-1026-dup-0, afr, , 19110809, ash n, kabimba, 9
rec-2533-org,   afr, , 19240603, kisasi, corbeil, 5
rec-645-dup-0, afr, f, 19161031, onyinyekh, marsden, 8
rec-1804-org,   afr, f, 19440615, terema, akwu, 7
rec-155-dup-0, afr, f, 19470711, milkias, rishworth, 3
rec-124-org,   afr, m, 19860319, kaaria, okubamicael, 8
rec-1740-dup-0, afr, f, 19840401, osayiniwese, jchoultz, 5
rec-1909-org,   afr, f, 19950520, zamoyoni, mbombo, 1
rec-1809-org,   afr, m, 19100527, haki, milla, 4
rec-1260-org,   afr, f, , afraisa, ndzamela, 3
rec-1403-org,   afr, m, 19761013, demissie, lampbrecht, 0
rec-2977-dup-0, afr, f, 19961007, dlon, kubisn, 8
rec-1544-org,   afr, f, 19170224, bayo, scriven, 5
rec-12-dup-0, afr, m, 19760 23, ndindi, shinganga, 6
rec-1188-dup-0, afr, f, 19860115, lebechi, niddre, 2
rec-2829-dup-0, afr, f, 19550106, nwagboso, mohamud, 2
rec-258-dup-0, afr, f, 19760926, chukwubki, kalonji, 9
rec-1695-dup-0, afr, f, 19290801, mutoniuwa, jtarling, 2
rec-1323-org,   afr, , 19000313, rukiya, anaja, 1
rec-789-org,   afr, f, 19350324, nnennaya, spamer, 7
rec-2173-org,   afr, f, 19240301, akueni, schaller, 4
rec-415-dup-0, afr, f, 19541019, achim, hanslo, 1
rec-2552-org,   afr, f, 19690907, adeola, nicol, 6
rec-1622-org,   afr, f, 19181021, salamu, kisa, 5
rec-2876-org,   afr, f, , olabode, kasaine, 2
rec-2513-org,   afr, f, 19770825, dahoma, rudd, 1
rec-2350-org,   afr, m, 19420105, anikulapo, sydow, 3
rec-816-org,   afr, m, 19630114, leteesha, rosenberg, 6
rec-1-org,   afr, f, 19530704, tette, osaguona, 6
rec-1929-org,   afr, f, 19610324, ssanyu, macfarlane, 8
rec-327-dup-0, afr, f, 19600424, oz , commins, 6
rec-1052-dup-0, afr, f, 19000202, syandene, christppher, 2
rec-1352-dup-0, afr, m, 19140611, runacko, nduria, 6
rec-2294-org,   afr, f, 19890208, hazika, kakoza, 7
rec-1053-dup-0, afr, f, 19620821, lolov vi, obasi, 4
rec-1163-org,   afr, f, 19380903, kwaboi, nordje, 1
rec-1521-org,   afr, f, 19161108, nzinga, eckhout, 2
rec-2584-org,   afr, f, 19190729, thandiwe, russell, 9
rec-2499-org,   afr, m, 19150819, ndaula, slogrove, 2
rec-2672-org,   afr, f, 19570831, nafaika, tana, 1
rec-1475-org,   afr, f, 19930827, ukurugenzi, wambui, 0
rec-2776-org,   afr, f, 19101219, saed, middlebrook, 9
rec-105-org,   afr, m, 19440710, ikezue, sanderson, 3
rec-1474-org,   afr, f, 19720804, gadise, munsanje, 8
rec-1134-dup-0, afr, , 19280303, nsoah, tedekind, 0
rec-1150-dup-0, afr, , 19071129, nicquisha, atae, 0
rec-139-dup-0, afr, m, 19180610, kardmu, aregai, 0
rec-755-org,   afr, f, 19940411, shakarah, mukoka, 9
rec-2783-dup-0, afr, , 19591028, anyeJwiswe, gurr, 4
rec-63-org,   afr, f, 19760724, alonge, leah, 3
rec-1172-dup-0, afr, f, 19770624, femi, peale, 2
rec-1971-dup-0, afr, m, , elshaday, kipkoqch, 8
rec-370-org,   afr, , 19830705, mothudi, bola, 0
rec-2060-dup-0, afr, f, 19470209, menelik, taljaart, 6
rec-2002-dup-0, afr, f, 19820303, onyema, bolq, 0
rec-2575-dup-0, afr, , 19571205, mphatso, chaxt, 2
rec-566-org,   afr, , 19241117, apunda, flax, 0
rec-1853-dup-0, afr, f, , az uka, bwembya, 0
rec-138-org,   afr, , 19311219, sono, oboli, 8
