rec_id, culture, sex, date_of_birth, given_name, surname, blocking_number
rec-2376-org,   afr, m, 19541009, itij, mosima, 3
rec-1932-org,   afr, m, 19820613, akachi, erwee, 6
rec-382-org,   afr, m, 19200308, xayvion, lenku, 8
rec-2265-dup-0, afr, f, 19420906, rehema, mowl m, 0
rec-1680-dup-0, afr, f, 19331223, zewd'le, promnitz, 9
rec-1502-dup-0, afr, f, 19960923, azan , kariuki, 9
rec-563-org,   afr, f, 19970425, onaje, tekleab, 4
rec-1899-dup-0, afr, f, 19711207, amalsi, sanderson, 9
rec-2893-dup-0, afr, f, 19160614, onyebukhi, simalimbu, 8
rec-649-dup-0, afr, f, 19611113, afamefula, sttreet, 6
rec-783-org,   afr, f, 19330608, teko, aboosh, 9
rec-93-org,   afr, f, 19280926, kgosi, hlongwane, 8
rec-1459-dup-0, afr, f, 19211126, makwetu, chela, 1
rec-621-org,   afr, m, 19780618, fathi, shaw, 8
rec-518-dup-0, afr, f, 19100416, ezeamaka, oding , 1
rec-913-org,   afr, f, 19271227, karamu, kiiza, 7
rec-2055-org,   afr, f, 19630627, makeda, rice, 6
rec-2558-org,   afr, f, 19070222, tegama, fayers, 9
rec-2880-dup-0, afr, f, 19531122, nakato, mello s, 1
rec-2079-org,   afr, m, 19140907, makungu, vozor, 6
rec-2503-org,   afr, f, 19480201, mkamba, muter, 1
rec-1905-org,   afr, , 19650916, nasimiyu, tanui, 4
rec-572-org,   afr, f, 19561020, diliza, camara, 4
rec-2233-dup-0, afr, m, 19851104, lou on, kisaakye, 5
rec-2433-dup-0, afr, m, 19390120, kanik wa, holdaway, 1
rec-2873-org,   afr, f, 19070817, angweng, cellarius, 6
rec-2273-dup-0, afr, m, 1932080 , hakima, fella, 2
rec-2601-org,   afr, f, 19430128, uwingabiy, minnie, 8
rec-1287-org,   afr, m, 19271125, kadiri, iii, 9
rec-2650-org,   afr, f, 19720821, shaleela, laubser, 6
rec-1202-dup-0, afr, f, 19200402, wany nyi, kaweesa, 8
rec-995-org,   afr, m, 19770702, otito, sipalo, 6
rec-2990-org,   afr, f, 19851101, wafor, stratford, 3
rec-2903-dup-0, afr, f, 19551213, isoke, ckalambo, 5
rec-400-org,   afr, f, , taljat, mwariama, 1
rec-193-dup-0, afr, m, 19851213, , maf ko, 8
