rec_id,culture,sex,given_name,surname,date_of_birth
rec-0-org,afr,m,moussa,kithene,19851216
rec-1-org,afr,f,anene,mwalwenje,19970916
rec-2-org,afr,f,dsu,subramoney,19630212
rec-3-org,afr,f,zikoranachidimma,subulwa,19420920
rec-4-org,afr,f,rhaxma,earnshaw,19820201
rec-5-org,afr,f,oboi,randall,19440411
rec-6-org,afr,,manani,ngugi,19960201
rec-7-org,afr,m,riitho,clarke,19770407
rec-8-org,afr,m,sabri,,19780801
rec-9-org,afr,f,kwashie,carrie,19590521
rec-10-org,afr,f,joldia,malulek,19660605
rec-11-org,afr,f,ekela,mbata,19880811
rec-12-org,afr,f,tinofa,noeth,19780731
rec-13-org,afr,,thuweni,rosenberg,19850306
rec-14-org,afr,f,andriamihaja,masuwa,19440408
rec-15-org,afr,f,amoke,lambo,19580125
rec-16-org,afr,f,milkias,wino,19730131
rec-17-org,afr,,ndale,hagenmeister,19780414
rec-18-org,afr,,kunle,mdala,19500131
rec-19-org,afr,,menkir,shapongo,19430606
rec-20-org,afr,,tamaa,govender,19560414
rec-21-org,afr,m,machungwa,yejju,19601218
rec-22-org,afr,f,panyin,restall,19870119
rec-23-org,afr,f,kezie,godana,19540122
rec-24-org,afr,f,birhan,main,19770115
rec-25-org,afr,f,yahcay,stobe,19480706
rec-26-org,afr,f,aldjata,tumbo,19810521
rec-27-org,afr,f,jomo,matengu,19500724
rec-28-org,afr,f,maimgehama,rostok,19791113
rec-29-org,afr,,kuda,kebede,19581222
rec-30-org,afr,m,nalongo,iguma,19720106
rec-31-org,afr,,linje,washiali,19490821
rec-32-org,afr,f,nonceba,waddell,19770515
rec-33-org,afr,m,kashta,human,19490517
rec-34-org,afr,f,arday,chidothi,19980529
rec-35-org,afr,f,fesseha,oyekan,19740822
rec-36-org,afr,f,bghnat,kutesa,19481016
rec-37-org,afr,m,orlain,iringo,19510711
rec-38-org,afr,m,chiamaka,veerens,19590717
rec-39-org,afr,m,hamani,,19630723
rec-40-org,afr,f,reshawn,nkungulu,19900112
rec-41-org,afr,m,lumengo,okoh,19730429
rec-42-org,afr,f,ezelagbo,kabarry,19560513
rec-43-org,afr,f,abdi,sichombo,19940831
rec-44-org,afr,f,teshi,sacks,19620604
rec-45-org,afr,f,okonkwo,guest,19940104
rec-46-org,afr,f,nafaika,debele,19490801
rec-47-org,afr,,iruka,hamaimbo,
rec-48-org,afr,f,mamadou,lwando,19620620
rec-49-org,afr,f,sigolwide,weeber,19730213
rec-50-org,afr,,annakiya,thigo,20000131
rec-51-org,afr,f,ntainyane,ogunode,19891201
rec-52-org,afr,m,kahiga,hasseriis,19760730
rec-53-org,afr,f,cherrise,witchell,19640108
rec-54-org,afr,f,kleavon,kajara,
rec-55-org,afr,m,ukegbu,tylcoat,19981027
rec-56-org,afr,f,lakeesha,ajanwachukwu,19840506
rec-57-org,afr,,nebechi,mcpherson,19490704
rec-58-org,afr,f,koceila,klopper,19780826
rec-59-org,afr,m,abok,focks,19990713
rec-60-org,afr,,mbiyu,dubuisson,19430613
rec-61-org,afr,f,kwamin,tremellen,19891011
rec-62-org,afr,f,ebun,wangila,19650121
rec-63-org,afr,,mdogo,beecher,19830131
rec-64-org,afr,f,buhle,malzer,19990912
rec-65-org,afr,f,ogunsheye,ngong,19960504
rec-66-org,afr,f,rencei,renken,19950709
rec-67-org,afr,f,muriuki,,19770513
rec-68-org,afr,f,aspar,chalwe,19801212
rec-69-org,afr,f,mothei,kirumira,20001005
rec-70-org,afr,f,shirika,motha,20020227
rec-71-org,afr,f,abiona,zehmke,19950724
rec-72-org,afr,f,ozoro,opande,19481005
rec-73-org,afr,f,bikita,reichert,19660730
rec-74-org,afr,f,awo,shadford,19430304
rec-75-org,afr,,ntathu,dyegh,
rec-76-org,afr,f,njau,,19820407
rec-77-org,afr,,shangilia,hartung,
rec-78-org,afr,m,modupe,chelule,19631029
rec-79-org,afr,f,tichawonna,luseno,19901208
rec-80-org,afr,,tacuma,stewardson,19930525
rec-81-org,afr,m,bolanle,storey,19670129
rec-82-org,afr,,makezia,stead,19530515
rec-83-org,afr,f,sijaona,chavula,19810405
rec-84-org,afr,f,zahran,slee,20010306
rec-85-org,afr,f,ashantae,egwu,19730112
rec-86-org,afr,f,hudham,hirji,19470826
rec-87-org,afr,f,ambo,osuchukwu,19990221
rec-88-org,afr,f,maduabuchi,silwamba,
rec-89-org,afr,m,kinaya,muhumusa,20021125
rec-90-org,afr,f,hiempsal,naituli,19790807
rec-91-org,afr,f,mayamiko,weller,
rec-92-org,afr,f,nkemefula,groenewald,19610311
rec-93-org,afr,f,habimama,fulani,19611006
rec-94-org,afr,m,yub,kimutai,19511224
rec-95-org,afr,m,mafunda,muller,
rec-96-org,afr,,laneisha,jeptoo,19970714
rec-97-org,afr,f,yahcay,dipeba,19510512
rec-98-org,afr,m,sefako,weesberg,19870715
rec-99-org,afr,,aster,enaharo,
rec-100-org,afr,f,mazi,mungule,19860308
rec-101-org,afr,f,gebretsadik,kizito,19820906
rec-102-org,afr,,amatefe,munachoonga,19750605
rec-103-org,afr,m,,lipede,19540409
rec-104-org,afr,,japera,govindsamy,19471123
rec-105-org,afr,f,jaha,gatobu,19550905
rec-106-org,afr,f,soda,akaruye,19860807
rec-107-org,afr,f,okeyo,rotich,19650105
rec-108-org,afr,f,itri,buule,19580825
rec-109-org,afr,f,mrehe,chitambo,19790104
rec-110-org,afr,f,omeokachie,matchett,19940803
rec-111-org,afr,,karanja,wales,19741027
rec-112-org,afr,f,sharik,teague,19500917
rec-113-org,afr,,abanobi,kiprugut,19900130
rec-114-org,afr,f,gezan,afakirya,19780708
rec-115-org,afr,m,nabulungi,abrahams,19480210
rec-116-org,afr,,tuwalole,wilkinson,19891224
rec-117-org,afr,m,aldja,weedy,19621015
rec-118-org,afr,,chizoba,vorster,19571231
rec-119-org,afr,,chikelu,pascoe,19670211
rec-120-org,afr,m,onwudiwe,salkeld,19630629
rec-121-org,afr,m,yejide,muchimba,19761105
rec-122-org,afr,,kawsen,silwamba,
rec-123-org,afr,,abudakar,russouw,19400107
rec-124-org,afr,,ubora,solari,20010524
rec-125-org,afr,f,dzidodo,harrison,19520718
rec-126-org,afr,f,nsonowa,choge,19640112
rec-127-org,afr,,bikila,musakay,
rec-128-org,afr,,kumbukani,mugerwa,19551118
rec-129-org,afr,f,maputo,nketani,19740521
rec-130-org,afr,f,mangaliso,tola,19420109
rec-131-org,afr,f,souroumigan,malema,19760821
rec-132-org,afr,f,azibo,chase,20001009
rec-133-org,afr,f,tafari,minogue,19681021
rec-134-org,afr,f,yobanna,kawuki,19870906
rec-135-org,afr,f,binty,hingwale,19960828
rec-136-org,afr,f,gabra,achermann,19930404
rec-137-org,afr,m,tyfoon,senfuma,19600114
