rec_id,culture,given_name,surname,sex,date_of_birth
rec-0-org,afr,shaccara,kerry,,
rec-1-org,afr,mamoun,nachula,m,19400731
rec-2-org,afr,abasi,pitout,m,19880209
rec-3-org,afr,moriba,riddell,,19470227
rec-4-org,afr,yidir,trewhella,f,19550509
rec-5-org,afr,shondah,hermanus,m,19751228
rec-6-org,afr,yihana,naretti,f,19900512
rec-7-org,afr,siyabonga,mokgweetsi,f,19540509
rec-8-org,afr,kumbufu,jaberti,,19880304
rec-9-org,afr,hatari,newnum,f,19661010
rec-10-org,afr,chinasa,bigombe,,19720725
rec-11-org,afr,ensun,passmore,f,19510709
rec-12-org,afr,abay,jalo,,19980421
rec-13-org,afr,soha,oliseh,f,19421026
rec-14-org,afr,awotwi,obanor,f,19480911
rec-15-org,afr,assi,tafa,m,19570123
rec-16-org,afr,ngendo,lagrange,,19610316
rec-17-org,afr,njogu,giyorgis,f,19660814
rec-18-org,afr,karume,wallinger,f,
rec-19-org,afr,talalit,mcquirk,m,19920512
rec-20-org,afr,lesala,mangeni,f,
rec-21-org,afr,kinfu,maass,f,19790424
rec-22-org,afr,tijjani,shuttleworth,f,19490808
rec-23-org,afr,tale,kandesha,f,
rec-24-org,afr,zainabu,gwangul,f,19500113
rec-25-org,afr,gulussan,hartzenberg,m,19581105
rec-26-org,afr,sebtuu,kokott,f,19420323
rec-27-org,afr,ayfa,nienaber,f,19810418
rec-28-org,afr,kamara,lugano,f,19880208
rec-29-org,afr,tatenda,somani,f,19910923
rec-30-org,afr,phathiwe,pearton,f,19990707
rec-31-org,afr,diliza,price,f,19550812
rec-32-org,afr,malebogo,olaki,f,19851110
rec-33-org,afr,shantaina,meyburgh,f,19600226
rec-34-org,afr,fasilidas,iyasu,,19611120
rec-35-org,afr,keshon,aghoghovbia,m,19501120
rec-36-org,afr,oluwatobi,welsford,f,19820802
rec-37-org,afr,berhanua,ngoche,m,19680906
rec-38-org,afr,sekelaga,warnich,,
rec-39-org,afr,waga,moodie,f,19770804
rec-40-org,afr,nyakio,scharneck,m,19811206
rec-41-org,afr,kiongozi,onyilo,f,
rec-42-org,afr,ozoro,greef,f,19710525
rec-43-org,afr,woyinesh,kibuuka,f,19590722
rec-44-org,afr,anuiyelewa,shand,m,19730902
rec-45-org,afr,ihuoma,adenaike,,19780607
rec-46-org,afr,mshangama,swanevelder,f,19861022
rec-47-org,afr,gukunda,otorogu,m,19800610
rec-48-org,afr,monnyak,gerlach,f,19930625
rec-49-org,afr,mehani,kefas,,19410719
rec-50-org,afr,seretse,kanana,f,19620721
rec-51-org,afr,woldeselassie,ainscough,f,19490107
rec-52-org,afr,,namugala,f,20020726
rec-53-org,afr,ijoma,makwaza,f,19821110
rec-54-org,afr,ifeanyichukwu,maimbo,f,19770503
rec-55-org,afr,kuthakwakulu,jonga,f,19481125
rec-56-org,afr,olugbala,mynhardt,f,19601007
rec-57-org,afr,zalira,james,f,19631031
rec-58-org,afr,ituri,chipepo,,19840419
rec-59-org,afr,ezeamaka,akakandelwa,f,20000424
rec-60-org,afr,nyamu,morsman,f,19820302
rec-61-org,afr,chuks,malot,f,19680320
rec-62-org,afr,bititi,warrington,m,19840920
rec-63-org,afr,nuru,tuli,f,19890718
rec-64-org,afr,yowen,hogg,f,19830415
rec-65-org,afr,jaali,ickonga,f,19850720
rec-66-org,afr,azulay,bands,f,19681113
rec-67-org,afr,burhani,wote,f,19430428
rec-68-org,afr,wolashe,,f,19980928
rec-69-org,afr,aoko,reynolds,f,19831011
rec-70-org,afr,olutosin,zakari,,20020406
rec-71-org,afr,tekeyah,muhammed,f,19470131
rec-72-org,afr,patience,lel,f,20001015
rec-73-org,afr,wolashe,wucherpfennig,f,19740319
rec-74-org,afr,obaseki,sumra,f,19650904
rec-75-org,afr,kwatekwei,masebe,f,19790719
rec-76-org,afr,abudakar,carelse,,19640613
rec-77-org,afr,tunu,poto,f,19600328
rec-78-org,afr,akpena,,f,19801019
rec-79-org,afr,dumetochukwu,shrekeezy,f,19970101
rec-80-org,afr,kampihe,nsunzu,f,19730414
rec-81-org,afr,kijicho,astles,f,
rec-82-org,afr,mekondjo,makondo,f,19501216
rec-83-org,afr,asminia,fourie,,19580530
rec-84-org,afr,kinyemi,dzonzi,f,19880618
rec-85-org,afr,kedimukofo,atta,f,19771007
rec-86-org,afr,thandiwe,deniran,f,19970918
rec-87-org,afr,brahim,mzembe,f,
rec-88-org,afr,jongilanga,aikhionbare,f,19500407
rec-89-org,afr,adelaja,akabueze,m,19680114
rec-90-org,afr,dini,sauerman,,19891130
rec-91-org,afr,azibo,daba,f,19911106
rec-92-org,afr,kamara,mwendapole,f,19990106
rec-93-org,afr,okwii,,,19901022
rec-94-org,afr,yirdaw,nyaruai,f,19901202
rec-95-org,afr,legesse,stella,,19590504
rec-96-org,afr,assaggi,elderson,f,
rec-97-org,afr,meti,gelana,f,19600823
rec-98-org,afr,afamefula,ikhouria,f,19770621
rec-99-org,afr,mwita,yejju,f,19750704
