rec_id,culture,sex,given_name,surname,date_of_birth
rec-0-org,afr,m,omwokha,gowers,
rec-1-org,afr,f,okereke,aladefa,19510618
rec-2-org,afr,f,afraisa,bwalya,19791228
rec-3-org,afr,f,teklehaymanot,mukachooma,19781213
rec-4-org,afr,f,oranmiyan,shakpoke,19771118
rec-5-org,afr,m,ndachitan,garba,19431230
rec-6-org,afr,f,badru,tiltmann,19770226
rec-7-org,afr,f,mkubwa,neilans,19420207
rec-8-org,afr,,sopuluchukwu,daley,19481205
rec-9-org,afr,f,finidi,lekuton,19890629
rec-10-org,afr,m,komboa,ellman,19941023
rec-11-org,afr,f,hissene,mphande,19951031
rec-12-org,afr,m,kizza,ramaphosa,19930424
rec-13-org,afr,f,menelik,kwesele,
rec-14-org,afr,f,tiaret,ngendane,19910406
rec-15-org,afr,m,rakotobe,saltmarsh,19541222
rec-16-org,afr,,mayamiko,pratley,19601205
rec-17-org,afr,f,olatokunbo,siamwenya,19641223
rec-18-org,afr,f,dumisani,oukri,19610415
rec-19-org,afr,f,lindiwe,sonnenberg,19400728
rec-20-org,afr,m,onindo,mentasti,19770505
rec-21-org,afr,,chanya,mukhtar,19590321
rec-22-org,afr,f,ayuba,chijikwa,19781022
rec-23-org,afr,,zeggan,ailola,19530110
rec-24-org,afr,f,ladawnah,debruijn,19731228
rec-25-org,afr,m,misagenes,ntlabathi,19860223
rec-26-org,afr,f,bayo,adriaanze,19670124
rec-27-org,afr,f,hawla,malinga,19971202
rec-28-org,afr,f,tadelesh,mbozi,20020518
rec-29-org,afr,m,amulas,hagen,19690314
rec-30-org,afr,f,ummi,murugu,19530529
rec-31-org,afr,f,belay,adoke,
rec-32-org,afr,m,thenga,aluko,20000521
rec-33-org,afr,m,ichchaam,dejongh,
rec-34-org,afr,f,tacuma,mulee,19520127
rec-35-org,afr,m,nickisha,garner,19920224
rec-36-org,afr,,taiwana,mackinlay,20010826
rec-37-org,afr,f,ngozi,matimba,19690307
rec-38-org,afr,f,obinna,ambrosoli,19540108
rec-39-org,afr,f,shaccara,riddin,19810704
rec-40-org,afr,,mutara,kwambai,19700928
rec-41-org,afr,f,oshe,yaseen,19690720
rec-42-org,afr,f,obasola,nkhana,19811230
rec-43-org,afr,,lavon,ezeikpe,19900320
rec-44-org,afr,f,ndoro,,19791124
rec-45-org,afr,f,muroki,kriek,19530927
rec-46-org,afr,f,ketso,penaluna,19440624
rec-47-org,afr,f,afamefula,gichonga,19500929
rec-48-org,afr,f,ebuka,sempijja,19700203
rec-49-org,afr,f,melisizwe,vivier,19691206
rec-50-org,afr,f,enwelumok,kinyatti,19780707
rec-51-org,afr,f,persinna,kalyesubula,19890521
rec-52-org,afr,f,oni,nkhata,
