rec_id,culture,sex,given_name,surname,date_of_birth
rec-0-org,afr,m,ashante,heath,19940621
rec-1-org,afr,f,,okiror,19400729
rec-2-org,afr,f,jabali,nkaissery,
rec-3-org,afr,,aminifu,walsh,19971116
rec-4-org,afr,,zamoyoni,whiley,19460601
rec-5-org,afr,f,ruhinda,rowland,19811130
rec-6-org,afr,,ligongo,sibanda,19710703
rec-7-org,afr,,pandu,simuchimba,19900803
rec-8-org,afr,f,kedimukofo,mumba,19660415
rec-9-org,afr,m,naundi,malan,19801105
rec-10-org,afr,f,selamawit,wearne,
rec-11-org,afr,m,lozokun,masheke,19580508
rec-12-org,afr,f,thoko,flax,19720804
rec-13-org,afr,,suhaila,hachendo,19721029
rec-14-org,afr,f,rasida,presland,19431227
rec-15-org,afr,f,abana,gates,19890127
rec-16-org,afr,f,balogun,urry,
rec-17-org,afr,f,dzigbode,murungi,19950105
rec-18-org,afr,m,zidan,,19980423
rec-19-org,afr,f,obaseki,masanza,19860710
rec-20-org,afr,f,fossa,shamrock,19641220
rec-21-org,afr,f,ogunsheye,girma,19401217
rec-22-org,afr,f,warui,asiedu,19970607
rec-23-org,afr,f,erinmwind,getaneh,19491111
rec-24-org,afr,f,kokayi,nazareth,19910417
rec-25-org,afr,f,seghada,balakistan,
rec-26-org,afr,,ketema,dickson,19660319
rec-27-org,afr,,avaina,ekhosuehi,19880619
rec-28-org,afr,m,addisu,baikie,19911223
rec-29-org,afr,f,kidaishia,kabalata,19920731
rec-30-org,afr,m,alikah,wippenaar,19930322
rec-31-org,afr,f,kidist,laidler,
rec-32-org,afr,,obaseki,odubiyi,19690606
rec-33-org,afr,f,ndidiamak,kalaluka,19790521
rec-34-org,afr,f,kalule,cheserem,20000124
rec-35-org,afr,m,mwanamize,murray,19651017
rec-36-org,afr,,tanesia,devantier,19640316
rec-37-org,afr,f,khamis,simakunda,
rec-38-org,afr,,akwaugo,zikonda,20021010
rec-39-org,afr,f,machupa,macfie,19880320
rec-40-org,afr,f,glele,,19821203
rec-41-org,afr,m,fanikia,,19831030
rec-42-org,afr,f,oluluaboe,siasuntwe,19421008
rec-43-org,afr,f,mtavila,baiya,
rec-44-org,afr,,chata,whitlock,20020123
rec-45-org,afr,,lebechi,devine,19500320
rec-46-org,afr,f,fesseha,matui,19421022
rec-47-org,afr,,thulile,fogarty,19680502
rec-48-org,afr,f,wekesa,nyandoro,19601124
rec-49-org,afr,f,olabisi,hikalinda,19641121
rec-50-org,afr,f,jokha,kalonje,19420929
rec-51-org,afr,f,shire,maschke,19801002
rec-52-org,afr,m,nayo,alemayehu,19440216
rec-53-org,afr,,leteesha,kgama,19650820
rec-54-org,afr,f,amatefe,,
rec-55-org,afr,m,shehu,samayat,19680915
rec-56-org,afr,f,hidi,tufa,19840420
rec-57-org,afr,f,khaya,owaa,19631004
rec-58-org,afr,f,eljamah,simwaka,19761212
rec-59-org,afr,f,farai,matjie,
rec-60-org,afr,f,eluemuno,roscher,19731205
rec-61-org,afr,m,okanlawon,chipili,19450419
rec-62-org,afr,,rejalla,qotoyi,20020630
rec-63-org,afr,f,wamukota,putters,19400514
rec-64-org,afr,,chiganu,kwambe,
rec-65-org,afr,m,agymah,kinyor,19700204
rec-66-org,afr,f,omorede,strang,
rec-67-org,afr,f,klondick,rademan,
rec-68-org,afr,f,kakra,botmang,19920819
rec-69-org,afr,f,ayo,yell,19680527
rec-70-org,afr,f,vusimuzi,oyedepo,19960315
rec-71-org,afr,,niamke,nhlema,19870905
rec-72-org,afr,f,jalloun,schierhout,19490322
rec-73-org,afr,f,koshi,mafoko,19570702
rec-74-org,afr,f,awiti,mhlaba,19670123
rec-75-org,afr,f,maryamu,lots,19930611
rec-76-org,afr,f,amechi,aloso,19510909
rec-77-org,afr,f,tagulani,aniche,20010303
rec-78-org,afr,f,seyni,mnguni,19610323
rec-79-org,afr,f,kanika,milla,
rec-80-org,afr,f,ndy,msimanga,
rec-81-org,afr,f,jamangi,sikale,20001220
rec-82-org,afr,f,moyo,erdogan,20010701
rec-83-org,afr,,jemar,gompels,19791205
rec-84-org,afr,m,birru,gerima,19751216
rec-85-org,afr,f,desta,rhoda,20010517
rec-86-org,afr,m,arafa,kefas,19510810
rec-87-org,afr,f,,hamooba,19570104
rec-88-org,afr,f,mkubwa,letsholathebe,19521108
rec-89-org,afr,f,tambuzi,jipcho,19741129
rec-90-org,afr,f,lesonn,aderemi,19720518
rec-91-org,afr,f,hosni,seun,19930124
rec-92-org,afr,f,hekanefer,tafese,
rec-93-org,afr,,ilom,bekker,19841007
rec-94-org,afr,f,jaja,guillermain,19520531
rec-95-org,afr,m,ozoechina,mayuka,19470731
rec-96-org,afr,f,dekah,ramasodi,19621228
rec-97-org,afr,f,lantoniai,,19520410
rec-98-org,afr,f,aho,alele,19560117
rec-99-org,afr,,omorose,dabiri,19581025
rec-100-org,afr,,obiora,muthiya,19590426
rec-101-org,afr,,turiya,mapstone,
rec-102-org,afr,,adin,symes,19860908
