rec_id,culture,sex,given_name,surname,date_of_birth
rec-0-org,afr,f,badda,mhone,19980216
rec-1-org,afr,,neema,sumaili,
rec-2-org,afr,f,dumeto,mapulanga,19740524
rec-3-org,afr,,omoruyi,dejonge,19700104
rec-4-org,afr,f,fadhili,folotiya,19450316
rec-5-org,afr,f,roshumba,lucas,19560902
rec-6-org,afr,f,nabirye,schlaikier,19911014
rec-7-org,afr,f,rukiya,vermaak,19831230
rec-8-org,afr,m,kenbede,precious,19871221
rec-9-org,afr,,fela,gaha,19790604
rec-10-org,afr,m,bintou,addis,20020914
rec-11-org,afr,,ugochukwu,kgoloko,19721214
rec-12-org,afr,f,dalmar,malupande,19770828
rec-13-org,afr,f,nsombi,deressa,19621118
rec-14-org,afr,f,sokoro,iguma,19450813
rec-15-org,afr,f,kennesha,abura,19670105
rec-16-org,afr,,maalik,majekodunmi,19631027
rec-17-org,afr,m,tahar,kimeli,19731201
rec-18-org,afr,f,mastanabal,mlambo,
rec-19-org,afr,m,manyara,odiah,19960921
rec-20-org,afr,m,tedla,munzele,19460913
rec-21-org,afr,m,reth,russaar,19410820
rec-22-org,afr,,telisa,giquel,
rec-23-org,afr,f,chimaga,camberg,19791201
rec-24-org,afr,,sarhaan,siasinyanga,19620626
rec-25-org,afr,f,zgz,groenink,19710211
rec-26-org,afr,f,jalani,yejju,20020403
rec-27-org,afr,f,moraa,ikedieze,19670904
rec-28-org,afr,f,bayo,chona,19721211
rec-29-org,afr,,kenyanna,baguma,19401206
rec-30-org,afr,f,kimah,kokot,19970503
rec-31-org,afr,f,lalaina,okara,19990315
rec-32-org,afr,m,wamakola,schoonraad,19750616
rec-33-org,afr,f,ewansika,kabaghe,19970706
rec-34-org,afr,f,ngumo,prins,19931214
rec-35-org,afr,f,eniola,alemu,19951102
rec-36-org,afr,f,muhima,oparathompson,19640814
rec-37-org,afr,m,davu,karume,20020409
rec-38-org,afr,,rakeisha,alade,19840518
rec-39-org,afr,m,ubaya,makhanya,19920929
rec-40-org,afr,f,yunes,chisembele,19540103
rec-41-org,afr,f,luzuko,kaswende,19600831
rec-42-org,afr,f,tatenda,echweru,19441015
rec-43-org,afr,f,bontu,nkanata,
rec-44-org,afr,m,wanjeri,semmelink,19450311
rec-45-org,afr,f,andimba,sanusi,19740130
rec-46-org,afr,f,noni,moiben,19780607
rec-47-org,afr,f,amray,marende,
rec-48-org,afr,,chikae,shackleford,19690913
rec-49-org,afr,f,marka,chomba,19450121
rec-50-org,afr,f,makwangwala,seller,19590804
rec-51-org,afr,f,kagunda,randles,19660309
rec-52-org,afr,,jimoh,kipyegon,19420415
rec-53-org,afr,f,zalira,lekuton,19770315
rec-54-org,afr,f,dau,sulieman,19580717
rec-55-org,afr,f,okwy,knoetze,19560922
rec-56-org,afr,,sutka,ebenezer,19830609
rec-57-org,afr,f,agama,langebrink,19910726
rec-58-org,afr,f,winda,kivejinja,19711110
rec-59-org,afr,,dayisile,naden,19920729
rec-60-org,afr,f,,chukwura,19490823
rec-61-org,afr,f,okeke,mmadu,19780304
rec-62-org,afr,,abidugun,redgard,19900529
rec-63-org,afr,,kumbuka,ebinipere,19431212
rec-64-org,afr,f,uwingabiy,erinle,19610113
rec-65-org,afr,f,jugurtha,deyas,19700530
rec-66-org,afr,f,kouty,marsh,19960808
rec-67-org,afr,m,taneesha,kipchoge,19850310
rec-68-org,afr,f,hazika,kinyonga,
rec-69-org,afr,f,dilibe,asare,19960307
rec-70-org,afr,f,zewdie,greener,19570816
rec-71-org,afr,f,nogomo,carpenter,
rec-72-org,afr,f,oxyntas,marshall,19860704
rec-73-org,afr,,bagindawo,winder,19620831
rec-74-org,afr,f,kanjuchi,adigun,19830416
rec-75-org,afr,,onyi,masamba,19731005
rec-76-org,afr,,nasila,chitalo,19690414
rec-77-org,afr,,kuguru,siewari,
rec-78-org,afr,f,sopuluchi,voster,19951104
rec-79-org,afr,f,kgosi,njui,19590209
rec-80-org,afr,f,mocci,akinbiye,19900630
rec-81-org,afr,f,oluwa,owiti,20011112
rec-82-org,afr,f,kwatekwei,turrell,19471026
rec-83-org,afr,f,tale,waruinge,19781022
rec-84-org,afr,,halla,matanzima,19791219
rec-85-org,afr,f,baliwe,carstens,
rec-86-org,afr,f,urunwa,chola,19971208
rec-87-org,afr,f,oafe,dewaal,19930402
rec-88-org,afr,,so,tuohy,19980408
rec-89-org,afr,f,chijioke,seller,20000508
rec-90-org,afr,f,muombwa,hadane,19960218
rec-91-org,afr,f,mutoniuwa,lunguzi,19920128
rec-92-org,afr,,chisisi,winterbach,19450103
rec-93-org,afr,f,nsoah,iwuji,19460709
rec-94-org,afr,,akua,musgrove,19910427
rec-95-org,afr,,onyemachi,zikonda,19500907
rec-96-org,afr,f,kutre,edet,19821117
rec-97-org,afr,f,hainidi,lekota,20001221
rec-98-org,afr,f,pelo,bishaw,19610226
rec-99-org,afr,f,huba,engle,20020913
rec-100-org,afr,f,kufere,akinsiku,19780923
rec-101-org,afr,f,,kiyeng,19690201
rec-102-org,afr,f,shaccara,ndiaye,19480703
rec-103-org,afr,m,odion,singer,19881124
rec-104-org,afr,f,chinue,fadana,19470702
rec-105-org,afr,m,fembar,goodyer,19760530
rec-106-org,afr,f,sobhuza,,19470506
rec-107-org,afr,f,tambuzi,kapoma,
rec-108-org,afr,f,okal,wingham,19620904
rec-109-org,afr,f,kalula,shadford,
rec-110-org,afr,,sharlayne,kimathi,19690722
rec-111-org,afr,f,lyabo,belloosagie,19510713
rec-112-org,afr,m,bahemuka,tochukwu,19500228
rec-113-org,afr,,sharufa,lwanga,19840604
rec-114-org,afr,m,afrika,eriba,19520706
rec-115-org,afr,f,delaeden,scannell,19760806
rec-116-org,afr,f,,mkamanga,19561220
rec-117-org,afr,f,nnabugwu,kuntempa,19870730
rec-118-org,afr,f,sakidi,frazer,19770319
rec-119-org,afr,m,olubayo,nyambe,19570816
rec-120-org,afr,f,nwabundoz,shamrock,19590212
rec-121-org,afr,f,kambuji,wandaba,19780927
rec-122-org,afr,f,osayiniwese,tyavkase,19731009
rec-123-org,afr,m,oukesson,dibaba,19681225
rec-124-org,afr,,mwazwenyi,musiwa,19540915
rec-125-org,afr,f,chola,zeederberg,19830528
rec-126-org,afr,f,malomo,delfava,19441126
rec-127-org,afr,,nkeka,miti,19871122
rec-128-org,afr,f,,dede,19611118
rec-129-org,afr,,kelile,azira,19491001
rec-130-org,afr,f,haji,,19540813
rec-131-org,afr,f,obaobadele,chiwala,19810705
rec-132-org,afr,,kysa,kasankha,19950410
rec-133-org,afr,,behm,soobramoney,19651101
rec-134-org,afr,m,roshon,osondu,19500122
rec-135-org,afr,m,duri,jeevanjee,19550720
rec-136-org,afr,f,danladi,ekah,
rec-137-org,afr,f,seghada,matafwali,
rec-138-org,afr,f,bupe,thwala,19970616
rec-139-org,afr,f,lateefa,ehiosun,19770411
rec-140-org,afr,f,fowsia,torunarigha,19811002
rec-141-org,afr,f,gwamniru,khaniri,19900126
rec-142-org,afr,f,machupa,huggins,19510403
rec-143-org,afr,f,nteremezi,vermaas,19451022
rec-144-org,afr,f,remi,michael,19951020
rec-145-org,afr,,nzinga,fick,19730914
rec-146-org,afr,f,alimayu,ideye,19760131
rec-147-org,afr,f,chimela,donoghue,19570623
rec-148-org,afr,f,med,mwagomba,
rec-149-org,afr,,iken,makatiani,19710617
rec-150-org,afr,f,nkruma,starr,19630323
rec-151-org,afr,f,mwamba,tyamzashe,19470920
rec-152-org,afr,f,negasi,roden,
rec-153-org,afr,f,zola,greener,20020910
rec-154-org,afr,m,khalfani,okpala,19910414
rec-155-org,afr,,kella,muzyamaba,19580331
rec-156-org,afr,m,koliraga,tunoi,19810416
rec-157-org,afr,f,mutia,lepper,
rec-158-org,afr,m,safeeldin,luvoyo,19940729
rec-159-org,afr,f,salla,osita,19650712
rec-160-org,afr,f,azalee,rwamirama,19841112
rec-161-org,afr,f,sriyani,scheepers,19490129
rec-162-org,afr,,mbalenhle,chemlany,19590807
rec-163-org,afr,m,kwalei,mubu,19550908
rec-164-org,afr,f,ezeani,chulumanda,19810519
rec-165-org,afr,f,onuora,wabukala,19591005
rec-166-org,afr,f,iverem,mugala,
rec-167-org,afr,f,amray,kingamba,19520730
rec-168-org,afr,f,halili,kyobe,19711006
rec-169-org,afr,f,tinhinan,omwakwe,20010816
rec-170-org,afr,,fumbani,mkweza,19601021
rec-171-org,afr,f,mukami,ruganda,19720415
rec-172-org,afr,,oafe,muranda,19961130
rec-173-org,afr,,akobundu,matshameko,19961029
rec-174-org,afr,,rukiya,grundlingh,19940324
rec-175-org,afr,f,njora,shardlow,19610222
rec-176-org,afr,,hasnuu,mao,19801115
rec-177-org,afr,f,urunna,lindow,19781017
rec-178-org,afr,f,tekeste,muchoki,19711209
rec-179-org,afr,f,chaonaine,bandebire,19440226
rec-180-org,afr,f,biftu,shipley,19570510
rec-181-org,afr,,zaci,machona,19771215
rec-182-org,afr,f,ndidi,wyre,19690328
rec-183-org,afr,m,yewubdar,magutt,19511221
rec-184-org,afr,f,mamboleo,kony,19550816
rec-185-org,afr,,alade,higgins,19671228
rec-186-org,afr,f,uzochi,khunwane,19520823
rec-187-org,afr,,kaisha,kidan,
rec-188-org,afr,f,teryl,tabakamulamu,19601029
rec-189-org,afr,,mkiyoni,wanjiku,19930411
rec-190-org,afr,f,tebogo,mnene,
rec-191-org,afr,f,yihana,beete,19600531
rec-192-org,afr,m,nasimiyu,trim,20010906
rec-193-org,afr,,awdia,muse,19591228
rec-194-org,afr,,arjana,hinga,19640323
rec-195-org,afr,f,olaniyan,eticha,19630130
rec-196-org,afr,m,mokete,bwakali,
rec-197-org,afr,m,tabansi,ngqobongwana,19440403
rec-198-org,afr,f,kambo,kimeu,19580112
rec-199-org,afr,,fundikira,verryne,20020405
rec-200-org,afr,,rolihlahla,siankombwe,19520519
rec-201-org,afr,f,amahle,mzima,19771111
rec-202-org,afr,,mapotlaki,rumokol,19430904
rec-203-org,afr,f,afia,pedersen,
rec-204-org,afr,f,imamu,,
rec-205-org,afr,m,tawa,kambere,19640105
rec-206-org,afr,m,pauline,sholei,19850123
rec-207-org,afr,f,henock,treurnicht,19640405
rec-208-org,afr,f,gugulethu,matilu,20020808
rec-209-org,afr,f,ajia,muyatwa,19680830
rec-210-org,afr,,hamdaan,shalabi,19730413
rec-211-org,afr,,okagbue,motego,19561027
rec-212-org,afr,f,nnennaya,parsons,19690707
rec-213-org,afr,f,chukwueloka,morgenthal,19470116
rec-214-org,afr,f,chinelo,muazu,19781017
rec-215-org,afr,f,miata,oyesanya,19840623
rec-216-org,afr,f,shafilshuna,mqhayi,19860922
rec-217-org,afr,f,bode,turner,19621026
rec-218-org,afr,,uzmir,oluwafemi,19760316
rec-219-org,afr,,laqawzia,kalichini,19971003
rec-220-org,afr,,mkiyoni,lensley,19770408
rec-221-org,afr,f,kassa,russouw,19640911
rec-222-org,afr,,ermias,ntlabathi,19580909
rec-223-org,afr,,ghaffar,lagat,19410131
rec-224-org,afr,f,thando,suttie,19501126
rec-225-org,afr,m,nosekeni,kyomya,
rec-226-org,afr,f,jalani,rademan,19651029
rec-227-org,afr,f,titrit,streak,19510413
rec-228-org,afr,,sifie,,19660705
rec-229-org,afr,m,mahfudh,yonkers,19620104
rec-230-org,afr,f,lizwelicha,gazi,19421231
rec-231-org,afr,f,osayioniw,sakalani,19790125
rec-232-org,afr,,febechi,passey,19680930
rec-233-org,afr,f,masika,wolfferum,19941010
rec-234-org,afr,f,anulka,timaya,19510207
rec-235-org,afr,m,elesbaan,krane,19490226
rec-236-org,afr,m,olufemi,ochiang,19720311
rec-237-org,afr,f,loumsy,jost,19761022
rec-238-org,afr,f,thair,adelakun,19650907
rec-239-org,afr,,fesseha,tehoeven,20020121
rec-240-org,afr,f,manani,obhafuoso,19991127
rec-241-org,afr,f,penha,daniel,19840830
rec-242-org,afr,,koice,hichingabula,19951231
rec-243-org,afr,f,sisi,lesch,19780610
rec-244-org,afr,f,jamarr,tungate,
rec-245-org,afr,m,ahadi,rugasira,19450223
rec-246-org,afr,f,kibasila,edwards,20011119
rec-247-org,afr,m,omotunde,grassmann,19890124
rec-248-org,afr,f,maimuna,mothopeng,19570319
rec-249-org,afr,m,amini,drammeh,19511007
rec-250-org,afr,f,chioke,narainsamy,19460806
rec-251-org,afr,,mukumtaga,daba,19970912
rec-252-org,afr,f,otakagu,nkosi,19461206
rec-253-org,afr,m,amarachi,mbishei,19440409
rec-254-org,afr,f,chaki,chiazzari,19460529
rec-255-org,afr,f,kagiso,demboba,19940131
rec-256-org,afr,f,kesean,munganga,19871213
rec-257-org,afr,f,amenzu,mcquirk,19720430
rec-258-org,afr,m,gula,redman,19710626
rec-259-org,afr,f,zeinab,versveld,
rec-260-org,afr,f,jabali,winnaar,
rec-261-org,afr,f,habika,lissouba,19600511
rec-262-org,afr,f,jeneta,owoniyi,19811006
rec-263-org,afr,,cossi,murgor,19581009
rec-264-org,afr,,amakai,pickersgill,19650305
rec-265-org,afr,f,mathaathi,veerens,19821112
rec-266-org,afr,m,taalib,gobir,19820124
rec-267-org,afr,f,makame,pugh,19661114
rec-268-org,afr,,naki,mwikisa,19490720
rec-269-org,afr,,urge,nott,20000409
rec-270-org,afr,f,,alebachew,19580715
rec-271-org,afr,f,zawadi,shekoni,19740522
rec-272-org,afr,m,mernissa,burja,19480421
rec-273-org,afr,f,olajuwon,mosaku,19930212
rec-274-org,afr,f,bupe,royston,19671011
rec-275-org,afr,m,nastasen,nyamai,19560614
rec-276-org,afr,f,eylachew,garenamotse,19740411
rec-277-org,afr,f,noni,mofokeng,19420318
rec-278-org,afr,m,riziki,bunyoro,19740908
rec-279-org,afr,f,munoru,schonken,20010829
rec-280-org,afr,,mekonnen,,19441125
rec-281-org,afr,f,anang,changwe,19611003
rec-282-org,afr,f,lyaqut,hamuchenkwa,19410114
rec-283-org,afr,f,ashanta,menye,19770216
rec-284-org,afr,f,nodayimni,maiyoro,20011128
rec-285-org,afr,f,jenebi,mieno,19650320
rec-286-org,afr,f,tayri,mmadu,19470403
rec-287-org,afr,,malek,tamblyn,19580509
rec-288-org,afr,,nondummis,kanyomozi,
rec-289-org,afr,f,faraja,tee,19871118
rec-290-org,afr,,safara,adamu,19580328
rec-291-org,afr,f,peyisai,dingake,19690222
rec-292-org,afr,f,zike,adiele,19830311
rec-293-org,afr,f,zikoranaudodimma,njekwa,19660520
rec-294-org,afr,m,hembadon,chitsulo,19560508
rec-295-org,afr,m,kyesi,ferguson,19571021
rec-296-org,afr,m,dessalegne,mugala,19731207
rec-297-org,afr,f,mhonum,apiafi,19571024
rec-298-org,afr,,chiganu,brown,
rec-299-org,afr,f,shor,verryne,19421217
rec-300-org,afr,f,coblah,loftie-eaton,19920327
rec-301-org,afr,f,akanke,sadiq,
rec-302-org,afr,,eby,shipster,19581006
rec-303-org,afr,,kinuka,modise,19420805
rec-304-org,afr,f,mehani,gitaa,19801121
rec-305-org,afr,f,tejan,akpala,19951201
rec-306-org,afr,f,njiraini,tolosa,19611212
rec-307-org,afr,f,adama,butagira,19900322
rec-308-org,afr,,yewande,chibiliti,19840102
rec-309-org,afr,m,zindziswa,symons,19900328
rec-310-org,afr,f,munyiga,mugabi,19610102
